Site,URLS,URL,Country,OpenAI,Google AI,Common Crawl,OAI-SearchBot,ChatGPT-User,GPTBot,PerplexityBot
Asbury Park Press,https://www.app.com,https://www.app.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Asheville Citizen-Times,https://www.citizen-times.com,https://www.citizen-times.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Ashland Times Gazette,https://www.times-gazette.com,https://www.times-gazette.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Aspen Daily News,https://www.aspendailynews.com,https://www.aspendailynews.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Athens Banner-Herald,https://www.onlineathens.com,https://www.onlineathens.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Augusta Chronicle,https://www.augustachronicle.com,https://www.augustachronicle.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Austin Statesman,https://www.statesman.com,https://www.statesman.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Axios,https://www.axios.com,https://www.axios.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,
Bakersfield Californian,https://www.bakersfield.com,https://www.bakersfield.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
"Baltimore Sun, The",https://www.baltimoresun.com,https://www.baltimoresun.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
"Barnstable Patriot, The",https://www.barnstablepatriot.com,https://www.barnstablepatriot.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Battle Creek Enquirer,https://www.battlecreekenquirer.com,https://www.battlecreekenquirer.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
"Beaver County Times, The",https://www.timesonline.com,https://www.timesonline.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Berkshire Eagle,https://www.berkshireeagle.com,https://www.berkshireeagle.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Billings Gazette,https://billingsgazette.com,https://billingsgazette.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Binghamton Press & Sun-Bulletin,https://www.pressconnects.com,https://www.pressconnects.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
"Bismarck Tribune, The",https://bismarcktribune.com,https://bismarcktribune.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
blueridgenow.com,https://www.blueridgenow.com,https://www.blueridgenow.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Bluffton Today,https://www.blufftontoday.com,https://www.blufftontoday.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Boone News Republican,newsrepublican.com,newsrepublican.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Boston Globe,https://www.bostonglobe.com,https://www.bostonglobe.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Boston Herald,https://www.bostonherald.com,https://www.bostonherald.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Bowling Green Daily News,https://www.bgdailynews.com,https://www.bgdailynews.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Brevard Florida Today,https://www.floridatoday.com,https://www.floridatoday.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
"Brunswick News, The",https://thebrunswicknews.com,https://thebrunswicknews.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Bucks County Herald,https://www.buckscountyherald.com,https://www.buckscountyherald.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Bucyrus Telegraph Forum,https://www.bucyrustelegraphforum.com,https://www.bucyrustelegraphforum.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Buffalo News,https://buffalonews.com,https://buffalonews.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Burlington County Times,https://www.burlingtoncountytimes.com,https://www.burlingtoncountytimes.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Burlington Free Press,https://www.burlingtonfreepress.com,https://www.burlingtonfreepress.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Burlington Times-News,https://www.thetimesnews.com,https://www.thetimesnews.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Canton Daily Ledger,https://www.cantondailyledger.com,https://www.cantondailyledger.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
"Canton Repository, The",https://www.cantonrep.com,https://www.cantonrep.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Cape Cod Times,https://www.capecodtimes.com,https://www.capecodtimes.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Capital Gazette,https://www.capitalgazette.com,https://www.capitalgazette.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Casper Star-Tribune,https://trib.com,https://trib.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Central Oregon Daily,https://www.centraloregondaily.com,https://www.centraloregondaily.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Chambersburg Public Opinion,https://www.publicopiniononline.com,https://www.publicopiniononline.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Charleston Gazette-Mail,https://www.wvgazettemail.com,https://www.wvgazettemail.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Cherry Hill Courier Post,https://www.courierpostonline.com,https://www.courierpostonline.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Chesapeake Bay Journal,https://www.bayjournal.com,https://www.bayjournal.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Chicago Tribune,https://www.chicagotribune.com,https://www.chicagotribune.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Chillicothe Gazette,https://www.chillicothegazette.com,https://www.chillicothegazette.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Chunichi Shimbun,chunichi.co.jp,chunichi.co.jp,🇯🇵,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Cincinnati Enquirer,https://www.cincinnati.com,https://www.cincinnati.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Clarion Ledger,https://www.clarionledger.com,https://www.clarionledger.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Clarksville Leaf Chronicle,https://www.theleafchronicle.com,https://www.theleafchronicle.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
CNBC,https://www.cnbc.com,https://www.cnbc.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
CoinDesk,https://www.coindesk.com,https://www.coindesk.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Colorado Springs Gazette,https://gazette.com,https://gazette.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Columbia Daily Tribune,https://www.columbiatribune.com,https://www.columbiatribune.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Columbia Missourian,https://www.columbiamissourian.com,https://www.columbiamissourian.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
"Columbus Dispatch, The",https://www.dispatch.com,https://www.dispatch.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Commercial Appeal,https://www.commercialappeal.com,https://www.commercialappeal.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Corpus Christi Caller Times,https://www.caller.com,https://www.caller.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Coshocton Tribune,https://www.coshoctontribune.com,https://www.coshoctontribune.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
"Courier-Tribune, The",https://www.courier-tribune.com,https://www.courier-tribune.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Daily American,https://www.dailyamerican.com,https://www.dailyamerican.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Daily Camera,https://www.dailycamera.com,https://www.dailycamera.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Daily Comet,https://www.dailycomet.com,https://www.dailycomet.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
"Daily Herald, The",https://www.columbiadailyherald.com,https://www.columbiadailyherald.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
"Daily Jeffersonian, The",https://www.daily-jeff.com,https://www.daily-jeff.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Daily Nebraskan,https://www.dailynebraskan.com,https://www.dailynebraskan.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Daily News,https://www.nydailynews.com,https://www.nydailynews.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
"Daily News - Jacksonville, NC, The",https://www.jdnews.com,https://www.jdnews.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
"Daily Record, The",https://www.the-daily-record.com,https://www.the-daily-record.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Dainik Bhaskar,bhaskar.com,bhaskar.com,🇮🇳,🙅,🙅,🙅,🙅,🙅,🙅,🙅
"Daytona Beach News-Journal, The",https://www.news-journalonline.com,https://www.news-journalonline.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Deadline,https://deadline.com,https://deadline.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Delaware Online,https://www.delawareonline.com,https://www.delawareonline.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Denver Post,https://www.denverpost.com,https://www.denverpost.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Des Moines Register,desmoinesregister.com,desmoinesregister.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
"Destin Log, The",https://www.thedestinlog.com,https://www.thedestinlog.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Detroit Free Press,https://www.freep.com,https://www.freep.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Detroit News,https://www.detroitnews.com,https://www.detroitnews.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
"Dispatch, The",https://www.the-dispatch.com,https://www.the-dispatch.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Donaldsonville Chief,https://www.donaldsonvillechief.com,https://www.donaldsonvillechief.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Dubuque Telegraph Herald,https://www.telegraphherald.com,https://www.telegraphherald.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
East Bay Times,https://www.eastbaytimes.com,https://www.eastbaytimes.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Eau Claire Leader-Telegram,https://www.leadertelegram.com,https://www.leadertelegram.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Echo-Pilot,https://www.echo-pilot.com,https://www.echo-pilot.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
EdSource,edsource.org,edsource.org,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
El Mundo,elmundo.es,elmundo.es,🇪🇸,🙅,🙅,🙅,🙅,🙅,🙅,
El Paso Times,https://www.elpasotimes.com,https://www.elpasotimes.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Ellwood City Ledger,https://www.ellwoodcityledger.com,https://www.ellwoodcityledger.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Elmira Star Gazette,https://www.stargazette.com,https://www.stargazette.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
"Enterprise, The",https://www.enterprisenews.com,https://www.enterprisenews.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Evansville Courier & Press,https://www.courierpress.com,https://www.courierpress.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Examiner-Enterprise,https://www.examiner-enterprise.com,https://www.examiner-enterprise.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Fairbanks Daily News-Miner,https://www.newsminer.com,https://www.newsminer.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
"Fall River Herald News, The",https://www.heraldnews.com,https://www.heraldnews.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
"Fayetteville Observer, The",https://www.fayobserver.com,https://www.fayobserver.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Florida Times-Union,https://www.jacksonville.com,https://www.jacksonville.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Fond du Lac Reporter,https://www.fdlreporter.com,https://www.fdlreporter.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Fort Collins Coloradoan,https://www.coloradoan.com,https://www.coloradoan.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Fort Myers News-Press,https://www.news-press.com,https://www.news-press.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Foster's Daily Democrat,https://www.fosters.com,https://www.fosters.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Frankfort State Journal,https://www.state-journal.com,https://www.state-journal.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Frederick News-Post,https://www.fredericknewspost.com,https://www.fredericknewspost.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Free Press,freep.com,freep.com,🇺🇸,,,,🙅,🙅,🙅,🙅
Freeport Journal-Standard,https://www.journalstandard.com,https://www.journalstandard.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Fremont News Messenger,https://www.thenews-messenger.com,https://www.thenews-messenger.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
"Gadsden Times, The",https://www.gadsdentimes.com,https://www.gadsdentimes.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Gainesville Sun,https://www.gainesville.com,https://www.gainesville.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
"Galesburg Register-Mail, The",https://www.galesburg.com,https://www.galesburg.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Galveston County Daily News,https://www.galvnews.com,https://www.galvnews.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
"Gardner News, The",https://www.thegardnernews.com,https://www.thegardnernews.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Gaston Gazette,https://www.gastongazette.com,https://www.gastongazette.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Geneseo Republic,https://www.geneseorepublic.com,https://www.geneseorepublic.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
"Gleaner, The",https://www.thegleaner.com,https://www.thegleaner.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
"Globe and Mail, The",https://www.theglobeandmail.com,https://www.theglobeandmail.com,🇨🇦,🙅,🙅,🙅,🙅,🙅,🙅,🙅
GoErie.com,https://www.goerie.com,https://www.goerie.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Gonzales Weekly Citizen,https://www.weeklycitizen.com,https://www.weeklycitizen.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Great Falls Tribune,https://www.greatfallstribune.com,https://www.greatfallstribune.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Green Bay Press-Gazette,https://www.greenbaypressgazette.com,https://www.greenbaypressgazette.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Greenville News,https://www.greenvilleonline.com,https://www.greenvilleonline.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Gwinnett Daily Post,https://www.gwinnettdailypost.com,https://www.gwinnettdailypost.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Hanover Evening Sun,https://www.eveningsun.com,https://www.eveningsun.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Hardin News-Enterprise,https://www.thenewsenterprise.com,https://www.thenewsenterprise.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Hartford Courant,https://www.courant.com,https://www.courant.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Hattiesburg American,https://www.hattiesburgamerican.com,https://www.hattiesburgamerican.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Herald Times Reporter,https://www.htrnews.com,https://www.htrnews.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Herald-Mail Media,https://www.heraldmailmedia.com,https://www.heraldmailmedia.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
"Herald-Times, The",https://www.heraldtimesonline.com,https://www.heraldtimesonline.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
hollandsentinel.com,https://www.hollandsentinel.com,https://www.hollandsentinel.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Hollywood Reporter,hollywoodreporter.com,hollywoodreporter.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
"Hornell Evening Tribune, The",https://www.eveningtribune.com,https://www.eveningtribune.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Houma Today,https://www.houmatoday.com,https://www.houmatoday.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
"Hutchinson News, The",https://www.hutchnews.com,https://www.hutchnews.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
"Indianapolis Star, The",https://www.indystar.com,https://www.indystar.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Ionia Sentinel-Standard,https://www.sentinel-standard.com,https://www.sentinel-standard.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Iowa City Press-Citizen,https://www.press-citizen.com,https://www.press-citizen.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Ithaca Journal,https://www.ithacajournal.com,https://www.ithacajournal.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Jackson Hole News&Guide,https://www.jhnewsandguide.com,https://www.jhnewsandguide.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Jackson Sun,https://www.jacksonsun.com,https://www.jacksonsun.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Joplin Globe,https://www.joplinglobe.com,https://www.joplinglobe.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
KAKE News,https://www.kake.com,https://www.kake.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Kent Ravenna Record-Courier,https://www.record-courier.com,https://www.record-courier.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Kerrville Daily Times,https://dailytimes.com,https://dailytimes.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
"Kinston/Jones Free Press, The",https://www.kinston.com,https://www.kinston.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Kitsap Sun,https://www.kitsapsun.com,https://www.kitsapsun.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
KITV4,https://www.kitv.com,https://www.kitv.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
"Knoxville News-Sentinel, The",https://www.knoxnews.com,https://www.knoxnews.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
KOMU,https://www.komu.com,https://www.komu.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
LaCrosse Tribune,https://lacrossetribune.com,https://lacrossetribune.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Lafayette Daily Advertiser,https://www.theadvertiser.com,https://www.theadvertiser.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Lafayette Journal & Courier,https://www.jconline.com,https://www.jconline.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
"Lakeland Ledger, The",https://www.theledger.com,https://www.theledger.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Lancaster Eagle-Gazette,https://www.lancastereaglegazette.com,https://www.lancastereaglegazette.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Lansing State Journal,https://www.lansingstatejournal.com,https://www.lansingstatejournal.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Las Cruces Sun News,https://www.lcsun-news.com,https://www.lcsun-news.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Le Devoir,https://www.ledevoir.com,https://www.ledevoir.com,🇨🇦,🙅,🙅,🙅,🙅,🙅,🙅,
Lebanon Daily News,https://www.ldnews.com,https://www.ldnews.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Leesburg Daily Commercial,https://www.dailycommercial.com,https://www.dailycommercial.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Lincoln Journal Star,https://journalstar.com,https://journalstar.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Little Green Footballs,https://littlegreenfootballs.com,https://littlegreenfootballs.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Livingston County Daily Press & Argus,https://www.livingstondaily.com,https://www.livingstondaily.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Louisville Courier-Journal,https://www.courier-journal.com,https://www.courier-journal.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Lubbock Avalanche-Journal,https://www.lubbockonline.com,https://www.lubbockonline.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Mansfield News Journal,https://www.mansfieldnewsjournal.com,https://www.mansfieldnewsjournal.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Marietta Daily Journal,https://www.mdjonline.com,https://www.mdjonline.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Marion Star,https://www.marionstar.com,https://www.marionstar.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Marshfield News-Herald,https://www.marshfieldnewsherald.com,https://www.marshfieldnewsherald.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
"Massillon Independent, The",https://www.indeonline.com,https://www.indeonline.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Mercury News,https://www.mercurynews.com,https://www.mercurynews.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
MetroWest Daily News,https://www.metrowestdailynews.com,https://www.metrowestdailynews.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Milford Daily News,https://www.milforddailynews.com,https://www.milforddailynews.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Milwaukee Journal Sentinel,https://www.jsonline.com,https://www.jsonline.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Missoulian,https://missoulian.com,https://missoulian.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Monroe News-Star,https://www.thenewsstar.com,https://www.thenewsstar.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Montgomery Advertiser,https://www.montgomeryadvertiser.com,https://www.montgomeryadvertiser.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
"Morning Call, The",https://www.mcall.com,https://www.mcall.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Mount Shasta Herald,https://www.mtshastanews.com,https://www.mtshastanews.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
MSNBC,https://www.msnbc.com,https://www.msnbc.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Muncie Star Press,https://www.thestarpress.com,https://www.thestarpress.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Murfreesboro Daily News Journal,https://www.dnj.com,https://www.dnj.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Naples Daily News,https://www.naplesnews.com,https://www.naplesnews.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Nashville Tennessean,https://www.tennessean.com,https://www.tennessean.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
NBC News,https://www.nbcnews.com,https://www.nbcnews.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
New Bern Sun Journal,https://www.newbernsj.com,https://www.newbernsj.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
New Jersey Herald,https://www.njherald.com,https://www.njherald.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
New York Times,https://www.nytimes.com,https://www.nytimes.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
Newark Advocate,https://www.newarkadvocate.com,https://www.newarkadvocate.com,🇺🇸,🙅,🙅,🙅,🙅,🙅,🙅,🙅
